Treatment,Plot,Range,Row,Name,Species,Fresh Weight (g),Dry Weight (g),Time,Plant height(cm),Plant height(cm)  – rep 2,Weight (kg/plot),Yield (t/ha)
HTPM,2011,2,11,Magenta_101,Wheat,43.86,9.28,August,19,23,2.65,2.15
HTPM,3012,3,12,Magenta_101,Wheat,46.26,9.23,August,31,30,,
HTPM,2011,2,11,Magenta_101,Wheat,79.15,16.4,September,48,47,2.65,2.15
HTPM,3012,3,12,Magenta_101,Wheat,91.61,18.6,September,44,36,,
HTPM,2011,2,11,Magenta_101,Wheat,323.9,144.5,October,75,73,2.65,2.15
HTPM,3012,3,12,Magenta_101,Wheat,217.2,111.3,October,71,78,,
HTPM,2006,2,6,Oxford_82,Barley,49.52,10.74,August,16,16,3.25,2.64
HTPM,3003,3,3,Oxford_82,Barley,78.63,16.02,August,16,15,2.85,2.31
HTPM,2006,2,6,Oxford_82,Barley,151.6,31.5,September,30,26,3.25,2.64
HTPM,3003,3,3,Oxford_82,Barley,116.4,24.8,September,27,26,2.85,2.31
HTPM,2006,2,6,Oxford_82,Barley,225.4,87.4,October,67,61,3.25,2.64
HTPM,3003,3,3,Oxford_82,Barley,220.7,98.2,October,66,66,2.85,2.31
HTPM,1005,1,5,RGT Planet_100,Barley,36.69,8.14,August,16,17,3.9,3.17
HTPM,3004,3,4,RGT Planet_100,Barley,70.08,14.46,August,16,18,3.6,2.92
HTPM,1005,1,5,RGT Planet_100,Barley,258.51,54.6,September,36,43,3.9,3.17
HTPM,3004,3,4,RGT Planet_100,Barley,68.07,34.3,September,28,38,3.6,2.92
HTPM,1005,1,5,RGT Planet_100,Barley,277.8,138.7,October,81,86,3.9,3.17
HTPM,3004,3,4,RGT Planet_100,Barley,271.4,121.9,October,84,81,3.6,2.92
HTPM,3006,3,6,Rosalind_88,Barley,73.5,13.98,August,27,27,3.5,2.84
HTPM,6002,6,2,Rosalind_88,Barley,59.79,12.63,August,20,23,2.25,1.83
HTPM,3006,3,6,Rosalind_88,Barley,150.38,32.4,September,41,46,3.5,2.84
HTPM,6002,6,2,Rosalind_88,Barley,98.12,19.2,September,34,44,2.25,1.83
HTPM,3006,3,6,Rosalind_88,Barley,255.5,122.9,October,62,57,3.5,2.84
